artist_id,artist_name,genres,popularity,followers,spotify_url
3TVXtAsR1Inumwj472S9r4,Drake,rap,97,98787706,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,dream pop,86,15873672,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,melodic rap,78,8804719,https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,,87,11014377,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"dark r&b, r&b, trap soul",87,9091622,https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"hip hop, west coast hip hop",95,41438871,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,,82,7791918,https://open.spotify.com/artist/2jku7tDXc6XoB6MO2hFuqg
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"uk drill, drill, uk grime, grime",83,8511633,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r
3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,,67,2332320,https://open.spotify.com/artist/3gIRvgZssIb9aiirIg0nI3
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,,96,105431034,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
5f7VJjfbwm532GiveGC0ZK,Lil Baby,,88,20541957,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK
5nvWOyAkfNgVLKESq4fOj2,Montell Fish,,76,1997805,https://open.spotify.com/artist/5nvWOyAkfNgVLKESq4fOj2
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,melodic rap,87,9515246,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ
6Ip8FS7vWT1uKkJSweANQK,Dave,"grime, uk grime, uk drill, drill",78,6136343,https://open.spotify.com/artist/6Ip8FS7vWT1uKkJSweANQK
1RyvyyTE3xzB2ZywiAwp0i,Future,rap,92,21488546,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i
0jPHHnU8GUWEF7rwPE9osY,Jordan Adetunji,sexy drill,68,307346,https://open.spotify.com/artist/0jPHHnU8GUWEF7rwPE9osY
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,,78,1999079,https://open.spotify.com/artist/6ltzsmQQbmdoHHbLZ4ZN25
4Gso3d4CscCijv0lmajZWs,Don Toliver,,87,6723043,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,,66,730071,https://open.spotify.com/artist/5JMLG56F1X5mFmWNmS0iAp
0NIPkIjTV8mB795yEIiPYL,Wallows,indie,73,2952351,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL
