playlist_id,track_id,track_name,artist_names,album_name,added_at,spotify_url
2wCA8KcHk1bu80uGiIRE7x,3s4JnWt4VCwNiCeaN1rujP,Luv,Tory Lanez,Reggae Gold 2017,2025-05-02 18:27:13+00:00,spotify:track:3s4JnWt4VCwNiCeaN1rujP
2wCA8KcHk1bu80uGiIRE7x,5HeHtkXf4LBS05U8Au7q3g,Kontrol,Maleek Berry,Kontrol,2025-05-02 18:27:13+00:00,spotify:track:5HeHtkXf4LBS05U8Au7q3g
2wCA8KcHk1bu80uGiIRE7x,5nLmO6pp71pmiVZwyTPfq9,Nobody Has to Know,Kranium,Rumors,2025-05-02 18:27:13+00:00,spotify:track:5nLmO6pp71pmiVZwyTPfq9
2wCA8KcHk1bu80uGiIRE7x,0j55p8YRAPG8yajtNyjt6A,Hold You - Hold Yuh,Gyptian,Hold You,2025-05-02 18:27:13+00:00,spotify:track:0j55p8YRAPG8yajtNyjt6A
2wCA8KcHk1bu80uGiIRE7x,2zYs4BonN2ydkbrRk333SN,Come Closer (feat. Drake),"Wizkid, Drake",Sounds From The Other Side,2025-05-02 18:27:13+00:00,spotify:track:2zYs4BonN2ydkbrRk333SN
2wCA8KcHk1bu80uGiIRE7x,0z0qRN3HNUCOG9y1R7umuD,Do Like That,Korede Bello,Do like That,2025-05-02 18:27:13+00:00,spotify:track:0z0qRN3HNUCOG9y1R7umuD
2wCA8KcHk1bu80uGiIRE7x,5J4FiKDJIdJ8AKx2gaWMt4,Your Number,Ayo Jay,Your Number,2025-05-02 18:27:13+00:00,spotify:track:5J4FiKDJIdJ8AKx2gaWMt4
2wCA8KcHk1bu80uGiIRE7x,6tHt7Ln9RV8FTlT4kTxr2b,Not Nice,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),2025-05-02 18:27:13+00:00,spotify:track:6tHt7Ln9RV8FTlT4kTxr2b
2wCA8KcHk1bu80uGiIRE7x,27g5G3TW90FSm3YxclYpAs,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),"Popcaan, Drake, PARTYNEXTDOOR",FIXTAPE,2025-05-02 18:27:13+00:00,spotify:track:27g5G3TW90FSm3YxclYpAs
2wCA8KcHk1bu80uGiIRE7x,6wN4nT2qy3MQc098yL3Eu9,Deuces (feat. Tyga & Kevin McCall),"Chris Brown, Tyga, Kevin McCall",F.A.M.E. (Expanded Edition),2025-05-02 18:27:13+00:00,spotify:track:6wN4nT2qy3MQc098yL3Eu9
