playlist_id,playlist_name,playlist_owner,playlist_tracks,spotify_url
2wCA8KcHk1bu80uGiIRE7x,dancehall island music friday afternoon,NOTKaran,50,https://open.spotify.com/playlist/2wCA8KcHk1bu80uGiIRE7x
4Py9FiWG8AbKydxlktFcBi,My playlist #27,NOTKaran,20,https://open.spotify.com/playlist/4Py9FiWG8AbKydxlktFcBi
7MhHB3qIXVSqbMViSxsvcG,$ome $exy $ongs 4 U,NOTKaran,21,https://open.spotify.com/playlist/7MhHB3qIXVSqbMViSxsvcG
2g9NtensZ1xKyeTky0aiTR,super saiyan mode,riya patel,359,https://open.spotify.com/playlist/2g9NtensZ1xKyeTky0aiTR
52v8wCVayL9npux8XN4fpy,Timbres of Tory,NOTKaran,11,https://open.spotify.com/playlist/52v8wCVayL9npux8XN4fpy
6REJlveHc6M6GSSBGVZt4g,My playlist #23,NOTKaran,30,https://open.spotify.com/playlist/6REJlveHc6M6GSSBGVZt4g
6dSFq7HN9m7wamNfWgjT1q,Woes of The Weeknd,NOTKaran,23,https://open.spotify.com/playlist/6dSFq7HN9m7wamNfWgjT1q
2ksJ4oj5ybMD5DJ2o5rZzc,main_character.synd,NOTKaran,56,https://open.spotify.com/playlist/2ksJ4oj5ybMD5DJ2o5rZzc
06hIm50dMEEmDVE9IPfP66,Ballads of Boogie,NOTKaran,71,https://open.spotify.com/playlist/06hIm50dMEEmDVE9IPfP66
6iIFfk4pLMh62po0PgUa0T,i_h.her,NOTKaran,48,https://open.spotify.com/playlist/6iIFfk4pLMh62po0PgUa0T
6US7zdR8YBS8RVdT16JUvj,Buttercup,NOTKaran,22,https://open.spotify.com/playlist/6US7zdR8YBS8RVdT16JUvj
29YKmktpPqWWFx7wBVVrE9,My playlist #16,NOTKaran,2,https://open.spotify.com/playlist/29YKmktpPqWWFx7wBVVrE9
5HAMrvmWxeus4z0nmSY51s,M.Y.C,NOTKaran,38,https://open.spotify.com/playlist/5HAMrvmWxeus4z0nmSY51s
0tqkMJhQ95YhlqFc7FB9sC,"""Soulful Solitude: Drake's Introspective Beats""",NOTKaran,63,https://open.spotify.com/playlist/0tqkMJhQ95YhlqFc7FB9sC
1z9AMGNEw1t4QE3EjFjDwq,bollywood_main_character,NOTKaran,87,https://open.spotify.com/playlist/1z9AMGNEw1t4QE3EjFjDwq
6W6XmQYw3TVkpeDYl4Qdt6,🚬,NOTKaran,49,https://open.spotify.com/playlist/6W6XmQYw3TVkpeDYl4Qdt6
3uxij0r6FPUOBLp7giIshA,@champagnepapi,riya patel,144,https://open.spotify.com/playlist/3uxij0r6FPUOBLp7giIshA
1pv7nbRxsrfaKKWRkD0XsD,🚗,soham,149,https://open.spotify.com/playlist/1pv7nbRxsrfaKKWRkD0XsD
0gm2ZIaYHoZYHbCsQmx4rn,Kick Back,NOTKaran,279,https://open.spotify.com/playlist/0gm2ZIaYHoZYHbCsQmx4rn
0fEQ45snnjpJTbPNvAWMr5,Check these out,NOTKaran,11,https://open.spotify.com/playlist/0fEQ45snnjpJTbPNvAWMr5
