played_at,track_id,track_name,artist_names,album_name,album_release_date,duration_min,spotify_url
2025-05-25 20:25:29.646000+00:00,5FsJ8AUxW1KBypdhFvbdkd,PIE (feat. Chris Brown),"Future, Chris Brown",HNDRXX,2017-07-27,3.5206666666666666,https://open.spotify.com/track/5FsJ8AUxW1KBypdhFvbdkd
2025-05-25 20:21:57.852000+00:00,6NgjdJrK7Bpyvsm8yDtx4H,Godly,Omah Lay,What Have We Done,2020-11-19,2.92025,https://open.spotify.com/track/6NgjdJrK7Bpyvsm8yDtx4H
2025-05-25 20:19:02.979000+00:00,6z5y2kdxF4XrEVRFVqdGVL,Asiwaju,Ruger,RU The World,2023-09-01,3.6,https://open.spotify.com/track/6z5y2kdxF4XrEVRFVqdGVL
2025-05-25 20:15:25.503000+00:00,3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),"Tinashe, ScHoolboy Q",Aquarius,2014-10-01,3.783333333333333,https://open.spotify.com/track/3jVtllWS5CFFWLQng8sKsr
2025-05-25 20:11:37.962000+00:00,5SI6uICAdqQl5q7Cn1sGPs,Je M'appelle,"melvitto, Ayo Jay",ovrdose.,2022-09-07,3.4395,https://open.spotify.com/track/5SI6uICAdqQl5q7Cn1sGPs
2025-05-25 20:08:11.702000+00:00,69gN9Efo4BxoDrJDmQZkTQ,Act Up,Ayo Jay,Wonder Shall Never End,2021-07-02,1.5840666666666667,https://open.spotify.com/track/69gN9Efo4BxoDrJDmQZkTQ
2025-05-25 20:06:35.659000+00:00,4hGHcdD5IwjAkftalZm5an,Walking Trophy,Tina (Hoodcelebrityy),Walking Trophy,2018-03-23,3.5852,https://open.spotify.com/track/4hGHcdD5IwjAkftalZm5an
2025-05-25 20:03:00.172000+00:00,4AxG1T6UJJ4xCX4Wz6JDLG,People (feat. Ayra Starr & Omah Lay),"Libianca, Ayra Starr, Omah Lay",People (Remixes),2023-03-31,3.0772166666666667,https://open.spotify.com/track/4AxG1T6UJJ4xCX4Wz6JDLG
2025-05-25 19:59:54.970000+00:00,6tHt7Ln9RV8FTlT4kTxr2b,Not Nice,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),2016-08-12,3.377683333333333,https://open.spotify.com/track/6tHt7Ln9RV8FTlT4kTxr2b
2025-05-25 19:56:31.707000+00:00,3bwCMbwDZVtvJDnUTQIdCX,Beat It (feat. Chris Brown & Wiz Khalifa),"Sean Kingston, Chris Brown, Wiz Khalifa",Back 2 Life,2013-09-10,4.224216666666667,https://open.spotify.com/track/3bwCMbwDZVtvJDnUTQIdCX
2025-05-25 19:52:17.950000+00:00,3wAyZwtyyLMsJNG7Mb17ky,Best Life,"Hardy Caprio, One Acen",Best Life,2018-06-28,3.33775,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
2025-05-25 19:48:57.130000+00:00,4UBLv4kHhTJcTZzam3Oc7g,Paranoia,Ayo Jay,Wonder Shall Never End,2021-07-02,3.0206833333333334,https://open.spotify.com/track/4UBLv4kHhTJcTZzam3Oc7g
2025-05-25 19:45:55.473000+00:00,4L7fihNpxIHecR9PB5b7Gj,Juice Remix,Payper Corleone,Everyone's A Target,2017-08-23,4.27985,https://open.spotify.com/track/4L7fihNpxIHecR9PB5b7Gj
2025-05-25 19:41:37.908000+00:00,1rCQsfqLX08cBYZeKbyTGt,Txtin' (feat. Alkaline),"WSTRN, Alkaline",Txtin' (feat. Alkaline),2017-07-21,4.021616666666667,https://open.spotify.com/track/1rCQsfqLX08cBYZeKbyTGt
2025-05-25 19:38:06.020000+00:00,11LE78kFWlyscXCxfZseox,Been Calling,Maleek Berry,Been Calling,2017-06-29,3.28,https://open.spotify.com/track/11LE78kFWlyscXCxfZseox
2025-05-25 19:34:20.651000+00:00,74CjepodJooOCQkrGCwE4C,Get Back,"Mario, Chris Brown",Get Back,2021-10-29,3.7028,https://open.spotify.com/track/74CjepodJooOCQkrGCwE4C
2025-05-25 19:30:36.270000+00:00,4q6dqyGM25sKFU8nYAGRe4,Show Me (feat. Chris Brown),"Kid Ink, Chris Brown",My Own Lane (Expanded Edition),2014-01-06,3.63,https://open.spotify.com/track/4q6dqyGM25sKFU8nYAGRe4
2025-05-25 19:26:58.153000+00:00,5TFsRGJs1YpkaTc8hTanLO,Wrong Person,Ayo Jay,Wonder Shall Never End,2021-07-02,2.8955166666666665,https://open.spotify.com/track/5TFsRGJs1YpkaTc8hTanLO
2025-05-25 19:24:03.610000+00:00,3MYG7lZANqw54i2Du7Y0WN,Blow My Mind,"Davido, Chris Brown",A Good Time,2019-11-22,3.31955,https://open.spotify.com/track/3MYG7lZANqw54i2Du7Y0WN
2025-05-25 19:20:44.507000+00:00,0hy1SOTEn9ifXTzOwnCwEr,All Eyes on You (feat. Chris Brown & Nicki Minaj),"Meek Mill, Chris Brown, Nicki Minaj",Dreams Worth More Than Money,2015-06-29,3.7328833333333336,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
